date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:45:06	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2022%20Jun%202026%2022:45:04%20GMT	http://ycc:Cakyew%3dfragAj8twekGo@yourcargocontact.com/demo/apip.html	C:/My%20Web%20Sites/ay/yourcargocontact.com/demo/apip.0.delayed	(from )
03:45:09	14743/14743	---MC-	200	added ('OK')	text/html	date:Mon,%2022%20Jun%202026%2022:45:06%20GMT	https://yourcargocontact.com/robots.txt		(from )
03:45:22	2146373/2146373	---M--	200	added ('OK')	text/html	etag:%226a35481a-20c045%22	https://yourcargocontact.com/demo/apip.html	C:/My%20Web%20Sites/ay/yourcargocontact.com/demo/apip.html	(from )
03:45:23	10751/10751	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2006%20Jun%202026%2008:38:28%20GMT	https://unpkg.com/react@18.3.1/umd/react.production.min.js	C:/My%20Web%20Sites/ay/unpkg.com/react@18.3.1/umd/react.production.min.js	(from https://yourcargocontact.com/demo/apip.html)
03:45:23	131835/131835	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2002%20Jun%202026%2013:26:26%20GMT	https://unpkg.com/react-dom@18.3.1/umd/react-dom.production.min.js	C:/My%20Web%20Sites/ay/unpkg.com/react-dom@18.3.1/umd/react-dom.production.min.js	(from https://yourcargocontact.com/demo/apip.html)
03:45:24	738143/738143	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2022%20Jun%202026%2015:00:12%20GMT	https://unpkg.com/lucide-react@0.383.0/dist/umd/lucide-react.js	C:/My%20Web%20Sites/ay/unpkg.com/lucide-react@0.383.0/dist/umd/lucide-react.js	(from https://yourcargocontact.com/demo/apip.html)
03:45:24	557189/557189	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2022%20Jun%202026%2015:00:12%20GMT	https://unpkg.com/lucide@0.383.0/dist/umd/lucide.js	C:/My%20Web%20Sites/ay/unpkg.com/lucide@0.383.0/dist/umd/lucide.js	(from https://yourcargocontact.com/demo/apip.html)
03:45:30	320004/320004	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2024%20Sep%202023%2018:06:13%20GMT	https://cdnjs.cloudflare.com/ajax/libs/pdf.js/3.11.174/pdf.min.js	C:/My%20Web%20Sites/ay/cdnjs.cloudflare.com/ajax/libs/pdf.js/3.11.174/pdf.min.js	(from https://yourcargocontact.com/demo/apip.html)
03:45:31	169/169	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2022%20Jun%202026%2022:45:24%20GMT	https://yourcargocontact.com/demo/image/	C:/My%20Web%20Sites/ay/yourcargocontact.com/demo/image/index.html	(from https://yourcargocontact.com/demo/apip.html)
03:45:32	153/153	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Jun%202026%2022:45:30%20GMT	https://yourcargocontact.com/demo/Auditor_Evidence_Pack.html	C:/My%20Web%20Sites/ay/yourcargocontact.com/demo/Auditor_Evidence_Pack.7.delayed	(from https://yourcargocontact.com/demo/apip.html)
03:45:32	153/153	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Jun%202026%2022:45:30%20GMT	https://yourcargocontact.com/demo/Governance_Compliance_Report.html	C:/My%20Web%20Sites/ay/yourcargocontact.com/demo/Governance_Compliance_Report.html	(from https://yourcargocontact.com/demo/apip.html)
03:45:33	153/153	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Jun%202026%2022:45:31%20GMT	https://yourcargocontact.com/demo/CO2_Report_YCC.html	C:/My%20Web%20Sites/ay/yourcargocontact.com/demo/CO2_Report_YCC.html	(from https://yourcargocontact.com/demo/apip.html)
03:45:35	153/153	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Jun%202026%2022:45:33%20GMT	https://yourcargocontact.com/demo/organogram.svg	C:/My%20Web%20Sites/ay/yourcargocontact.com/demo/organogram.svg	(from https://yourcargocontact.com/demo/apip.html)
03:45:35	153/153	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Jun%202026%2022:45:33%20GMT	https://yourcargocontact.com/demo/organogram.png	C:/My%20Web%20Sites/ay/yourcargocontact.com/demo/organogram.png	(from https://yourcargocontact.com/demo/apip.html)
03:45:38	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2022%20Jun%202026%2022:45:36%20GMT	http://yourcargocontact.com/demo/image	C:/My%20Web%20Sites/ay/yourcargocontact.com/demo/image.d.delayed	(from https://yourcargocontact.com/demo/image/)
03:45:38	1087212/1087212	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2024%20Sep%202023%2018:06:13%20GMT	https://cdnjs.cloudflare.com/ajax/libs/pdf.js/3.11.174/pdf.worker.min.js	C:/My%20Web%20Sites/ay/cdnjs.cloudflare.com/ajax/libs/pdf.js/3.11.174/pdf.worker.min.js	(from https://yourcargocontact.com/demo/apip.html)
03:45:38	153/153	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Jun%202026%2022:45:36%20GMT	https://yourcargocontact.com/demo/image	C:/My%20Web%20Sites/ay/yourcargocontact.com/demo/image	(from https://yourcargocontact.com/demo/image/)
